Age,Income,Number_of_Children,Gender_encoded,Status_encoded,Home_encoded,Education_BACHELOR'S DEGREE,Education_DOCTORATE,Education_HIGH SCHOOL DIPLOMA,Education_MASTER'S DEGREE
29,51143.25979210438,0,0,1,1,0,0,0,0
27,47500.0,0,0,1,1,0,0,0,0
32,57500.0,0,0,1,1,0,0,0,0
26,47500.0,0,0,1,1,0,0,0,0
33,47467.217341501295,0,0,1,1,0,0,0,0
33,57500.0,0,0,1,1,1,0,0,0
33,57500.0,0,0,1,1,1,0,0,0
28,67969.62835582018,1,0,0,0,0,0,0,0
27,45000.0,0,0,1,1,0,0,0,0
33,57500.0,0,1,1,1,0,0,0,0
35,46822.517920102466,0,1,1,1,0,0,0,0
25,61928.17586671487,0,0,1,1,1,0,0,0
33,52500.0,0,1,1,1,0,0,1,0
31,45000.0,0,0,1,1,0,0,0,0
32,52210.327351187174,0,0,1,1,0,0,0,0
32,47500.0,0,0,1,1,0,0,0,0
29,70325.26404879331,0,1,1,1,1,0,0,0
29,64172.754937868376,0,0,1,1,1,0,0,0
33,52500.0,0,1,1,1,0,0,1,0
28,45777.45580428916,0,0,1,1,0,0,0,0
32,57500.0,0,0,1,1,1,0,0,0
30,65811.18146498581,0,0,0,0,0,0,0,0
28,64093.893678388034,0,0,1,1,1,0,0,0
33,47218.031856440815,0,0,1,1,0,0,0,0
34,46180.537312904875,0,1,1,1,0,0,0,0
32,52201.014385154245,0,0,1,1,0,0,0,0
34,45716.888031942515,0,1,1,1,0,0,0,0
33,52500.0,0,1,1,1,0,0,1,0
36,56403.19299392374,0,1,1,1,0,0,0,0
29,64427.4179498864,0,0,1,1,1,0,0,0
29,43703.46697273293,0,0,1,1,0,0,0,0
34,47500.0,0,1,1,1,0,0,0,0
29,57500.0,0,0,1,1,0,0,0,0
25,60063.547816860235,0,0,1,1,1,0,0,0
33,52500.0,0,1,1,1,0,0,1,0
